Category,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars 
2,Eleven,1876,September,"September,1876",105,72," $2,000,000.00 "
1,One,1876,September,"September,1876",90,0,
3,Unnamed,1876,September,"September,1876",115,41,
2,Eight,1877,September,"September,1877",105,0,
1,Three,1877,September,"September,1877",80,0,
2,Two,1877,September,"September,1877",105,0,
1,Two,1877,September,"September,1877",80,0,
3,Unnamed,1877,September,"September,1877",120,4000,
3,Unnamed,1877,September,"September,1877",120,400,
1,Eight,1878,October,"October,1878",80,27,
2,Five,1878,August,"August,1878",105,700,
2,Four,1878,August,"August,1878",105,68,
2,Four,1878,October,"October,1878",105,8,
1,Nine,1878,October,"October,1878",80,0,
2,Six,1878,October,"October,1878",105,0,
1,Three,1878,August,"August,1878",90,0,
1,Two,1878,August,"August,1878",80,,
3,Unnamed,1878,August,"August,1878",115,200,
3,Unnamed,1878,August,"August,1878",120,34,
3,Unnamed,1878,October,"October,1878",120,34,
3,Unnamed,1878,October,"October,1878",120,1,
2,Two,1879,August,"August,1879",105,25," $1,800,000.00 "
1,One,1879,August,"August,1879",80,0,
2,One,1879,October,"October,1879",100,,
1,Seven,1879,October,"October,1879",80,0,
3,Unnamed,1879,August,"August,1879",120,26,
3,Unnamed,1879,October,"October,1879",120,,
2,Eight,1880,September,"September,1880",100,0,
2,Eight,1880,October,"October,1880",105,0,
1,Five,1880,August,"August,1880",90,0,
2,Four,1880,October,"October,1880",100,0,
1,Nine,1880,October,"October,1880",80,0,
2,Nine,1880,September,"September,1880",100,0,
3,San Pedro,1880,September,"September,1880",125,80,
1,Seven,1880,September,"September,1880",90,0,
1,Six,1880,September,"September,1880",80,0,
1,Ten,1880,October,"October,1880",90,0,
2,Three,1880,August,"August,1880",100,18,
1,Three,1880,August,"August,1880",90,0,
2,Two,1880,August,"August,1880",100,0,
3,Unnamed,1880,August,"August,1880",120,34,
3,Unnamed,1880,October,"October,1880",120,2,
3,Unnamed,1880,September,"September,1880",120,,
3,Unnamed,1880,October,"October,1880",120,,
3,Unnamed,1880,August,"August,1880",120,,
2,Fifteen,1881,August,"August,1881",105,0,
1,Four,1881,August,"August,1881",80,,
2,Nine,1881,August,"August,1881",100,14,
1,Three,1881,August,"August,1881",90,0,
3,Unnamed,1881,August,"August,1881",120,55,
3,Unnamed,1881,August,"August,1881",115,25,
1,Five,1882,September,"September,1882",80,0,
2,Nine,1882,September,"September,1882",100,0,
1,One,1882,August,"August,1882",80,0,
2,Seven,1882,August,"August,1882",110,0,
3,Unnamed,1882,August,"August,1882",125,175,
3,Unnamed,1882,September,"September,1882",125,,
2,Four,1883,August,"August,1883",105,40,
1,One,1883,August,"August,1883",90,0,
3,Unnamed,1883,August,"August,1883",125,10,
2,Four,1884,September,"September,1884",100,0,
1,One,1884,September,"September,1884",80,0,
2,Six,1884,September,"September,1884",110,0,
1,Three,1884,September,"September,1884",90,0,
3,Unnamed,1884,September,"September,1884",120,2,
3,Unnamed,1884,September,"September,1884",115,,
2,Five,1885,September,"September,1885",100,0,
2,Five,1885,August,"August,1885",100,0,
1,Five,1885,September,"September,1885",80,0,
1,Four,1885,September,"September,1885",90,4,
1,One,1885,August,"August,1885",90,0,
2,Seven,1885,September,"September,1885",100,0,
1,Seven,1885,September,"September,1885",90,0,
2,Six,1885,September,"September,1885",100,0,
1,Six,1885,September,"September,1885",80,,
2,Three,1885,September,"September,1885",100,0,
3,Unnamed,1885,September,"September,1885",120,10,
3,Unnamed,1885,September,"September,1885",115,8,
3,Unnamed,1885,September,"September,1885",125,7,
3,Unnamed,1885,September,"September,1885",120,,
3,Unnamed,1885,August,"August,1885",125,,
1,Four,1886,July,"July,1886",85,,
4,Indianola,1886,August,"August,1886",,,
2,Two,1886,July,"July,1886",100,,
3,Unnamed,1886,July,"July,1886",120,,
3,Able,1887,November,"November,1887",120,,
2,Eight,1887,October,"October,1887",100,0,
1,Eighteen,1887,December,"December,1887",80,0,
2,Five,1887,September,"September,1887",100,0,
1,Fourteen,1887,October,"October,1887",85,0,
3,Fox,1887,December,"December,1887",125,11,
3,Love,1887,October,"October,1887",120,,
2,Seven,1887,October,"October,1887",100,5,
2,Seven,1887,November,"November,1887",,0,
1,Seventeen,1887,November,"November,1887",80,0,
1,Ten,1887,September,"September,1887",80,0,
1,Thirteen,1887,October,"October,1887",85,,
2,Two,1887,December,"December,1887",110,0,
3,Unnamed,1887,September,"September,1887",120,216,
3,Unnamed,1887,October,"October,1887",115,3,
2,One,1888,September,"September,1888",100,1," $100,000.00 "
3,Able,1888,September,"September,1888",115,11,
2,Five,1888,June,"June,1888",105,,
1,One,1888,June,"June,1888",80,,
1,Six,1888,September,"September,1888",80,,
3,Unnamed,1888,June,"June,1888",125,,
2,Five,1889,June,"June,1889",100,4," $500,000.00 "
3,Charlie,1889,September,"September,1889",120,4,
3,Easy,1889,May,"May,1889",120,2,
1,Five,1889,September,"September,1889",80,0,
3,Fox,1889,August,"August,1889",115,,
3,Jig,1889,June,"June,1889",115,,
2,One,1889,September,"September,1889",100,45,
1,One,1889,May,"May,1889",80,0,
2,Six,1889,August,"August,1889",100,0,
2,Three,1889,May,"May,1889",100,0,
1,Three,1889,August,"August,1889",80,,
1,Two,1889,June,"June,1889",75,,
2,Four,1890,October,"October,1890",110,383," $2,500,000.00 "
3,Edna,1890,October,"October,1890",115,,
1,Four,1890,October,"October,1890",90,,
2,Two,1891,July,"July,1891",100,7," $1,000,000.00 "
2,Nine,1891,October,"October,1891",110,," $200,000.00 "
3,Carol,1891,August,"August,1891",115,72,
3,Edna,1891,October,"October,1891",125,27,
3,Florence,1891,July,"July,1891",115,,
2,Four,1891,August,"August,1891",105,0,
1,Nine,1891,October,"October,1891",85,,
1,One,1891,July,"July,1891",90,10,
1,Two,1891,August,"August,1891",80,0,
3,Betsy,1892,October,"October,1892",120,36,
1,Eight,1892,October,"October,1892",90,0,
3,Hilda,1892,August,"August,1892",120,304,
2,Seven,1892,October,"October,1892",105,0,
2,Three,1892,August,"August,1892",100,0,
1,Two,1892,August,"August,1892",75,,
3,Audrey,1893,June,"June,1893",125,431,
4,Cheniere Caminada,1893,August,"August,1893",,,
1,One,1893,June,"June,1893",80,,
2,Three,1893,June,"June,1893",100,0,
4,Unnamed,1894,,",1894",,,
2,Four,1897,October,"October,1897",100,57," $9,000,000.00 "
3,Ethel,1897,October,"October,1897",115,1,
1,Five,1897,October,"October,1897",80,188,
2,Four,1897,September,"September,1897",105,0,
3,Hannah,1897,September,"September,1897",120,,
1,Two,1897,September,"September,1897",85,29,
3,Arlene,1898,August,"August,1898",115,,
3,Beulah,1898,August,"August,1898",120,,
4,Georgia,1898,,",1898",,,
3,Isbell,1898,September,"September,1898",115,7,
1,One,1898,August,"August,1898",80,12,
2,Seven,1898,August,"August,1898",100,0,
2,Six,1898,August,"August,1898",110,2,
1,Three,1898,September,"September,1898",80,0,
2,Two,1898,September,"September,1898",105,0,
1,Two,1898,August,"August,1898",85,,
4,San Ciriaco,1899,,",1899",,,
4,Galveston,1900,August,"August,1900",,,
2,Twelve,1901,October,"October,1901",105,198," $10,000,000.00 "
2,Two,1901,September,"September,1901",100,0," $1,300,000.00 "
1,1901 Louisiana hurricane,1901,August,"August,1901",90,,
3,Alma,1901,July,"July,1901",125,93,
3,Debbie,1901,August,"August,1901",120,,
2,Eight,1901,August,"August,1901",110,0,
3,Faith,1901,August,"August,1901",120,5,
3,Francelia,1901,September,"September,1901",115,271,
3,Gerda,1901,October,"October,1901",125,,
1,Hurricane San Cirillo of 1901,1901,July,"July,1901",80,,
1,Hurricane San Vicente of 1901,1901,September,"September,1901",80,,
2,Nine,1901,August,"August,1901",105,0,
2,One,1901,July,"July,1901",100,0,
1,Six,1901,August,"August,1901",80,0,
1,Thirteen,1901,October,"October,1901",80,0,
3,Inga,1902,June,"June,1902",115,,
2,Three,1902,June,"June,1902",110,0,
1,Two,1902,June,"June,1902",80,,
2,Three,1903,September,"September,1903",100,17," $27,400,000.00 "
2,Four,1903,November,"November,1903",100,10," $2,000,000.00 "
1,1903 Florida hurricane,1903,September,"September,1903",90,," $500,000.00 "
3,Becky,1903,November,"November,1903",115,,
3,Ella,1903,July,"July,1903",125,1,
3,Ellen,1903,September,"September,1903",115,,
2,Four,1903,July,"July,1903",100,0,
1,One,1903,July,"July,1903",80,,
1,Ten,1903,November,"November,1903",80,0,
2,Seven,1904,October,"October,1904",110,0," $1,000,000.00 "
1,Two,1904,September,"September,1904",80,27," $500,000.00 "
2,Six,1904,June,"June,1904",100,42," $28,000.00 "
3,Belle,1904,September,"September,1904",120,12,
3,Caroline,1904,June,"June,1904",115,2,
3,Eloise,1904,September,"September,1904",125,80,
2,Four,1904,September,"September,1904",100,0,
1,Four,1904,October,"October,1904",80,,
3,Frances,1904,October,"October,1904",115,,
1,One,1904,June,"June,1904",80,,
2,Three,1904,September,"September,1904",105,0,
1,Three,1904,September,"September,1904",80,,
1,Five,1906,September,"September,1906",90,7," $2,000,000.00 "
1,Eleven,1906,November,"November,1906",80,,
3,Floyd,1906,November,"November,1906",115,,
2,Fourteen,1906,September,"September,1906",110,69,
3,Frances,1906,September,"September,1906",115,,
2,Two,1906,November,"November,1906",105,0,
3,Alicia,1908,July,"July,1908",115,21," $8,490,000,000.00 "
2,Five,1908,May,"May,1908",110,21,
3,Irene,1908,May,"May,1908",120,,
2,One,1908,July,"July,1908",110,0,
1,Three,1908,July,"July,1908",80,,
1,Two,1908,May,"May,1908",75,,
4,Unnamed,1910,,",1910",,,
3,Elena,1911,August,"August,1911",125,9," $1,300,000,000.00 "
2,Two,1911,August,"August,1911",100,1," $1,450,000.00 "
1,Two,1911,August,"August,1911",80,," $12,600.00 "
1,Four,1912,September,"September,1912",90,," $39,000.00 "
3,Emily,1912,October,"October,1912",125,3,
1,Five,1912,October,"October,1912",90,,
2,Four,1912,September,"September,1912",110,0,
3,Kate,1912,September,"September,1912",120,15,
2,Two,1912,October,"October,1912",105,0,
1,Four,1913,August,"August,1913",85,5," $4,000,000.00 "
1,Five,1913,October,"October,1913",75,," $75,000.00 "
3,Bob,1913,August,"August,1913",115,17,
2,Eight,1913,October,"October,1913",105,0,
3,Emily,1913,October,"October,1913",115,3,
2,Five,1913,August,"August,1913",105,0,
2,Four,1913,June,"June,1913",110,89,
2,Four,1913,October,"October,1913",110,0,
3,Gustav,1913,June,"June,1913",120,0,
3,Marilyn,1913,October,"October,1913",115,12,
1,One,1913,June,"June,1913",75,0,
1,Six,1913,October,"October,1913",75,0,
1,One,1915,July,"July,1915",75,," $250,000.00 "
2,One,1915,July,"July,1915",105,2," $235,000.00 "
4,Galveston,1915,August,"August,1915",,,
4,New Orleans,1915,September,"September,1915",,,
3,Roxanne,1915,July,"July,1915",115,29,
3,Bertha,1916,August,"August,1916",115,12,
1,Eight,1916,August,"August,1916",80,,
2,Fifteen,1916,September,"September,1916",100,0,
3,Fran,1916,September,"September,1916",120,27,
2,Seven,1916,August,"August,1916",100,2,
1,Ten,1916,September,"September,1916",85,0,
2,Two,1918,August,"August,1918",110,35," $7,500,000.00 "
3,Isidore,1918,August,"August,1918",115,0,
1,Three,1918,August,"August,1918",75,0,
4,Florida Keys,1919,September,"September,1919",,,
2,One,1920,September,"September,1920",100,," $4,400,000.00 "
3,Erika,1920,September,"September,1920",125,2,
1,Five,1920,September,"September,1920",85,1,
3,Lili,1920,September,"September,1920",115,22,
2,Thirteen,1920,September,"September,1920",110,67,
1,Three,1920,September,"September,1920",85,1,
1,Two,1921,September,"September,1921",80,215," $19,000,000.00 "
2,Seven,1921,September,"September,1921",105,19," $5,500,000.00 "
2,Seven,1921,June,"June,1921",105,8," $10,000.00 "
3,Alberto,1921,September,"September,1921",125,0,
3,Bonnie,1921,June,"June,1921",115,5,
3,Erin,1921,September,"September,1921",120,,
1,Four,1921,September,"September,1921",90,0,
1,One,1921,June,"June,1921",90,0,
4,Tampa Bay,1921,October,"October,1921",,,
2,Ten,1921,September,"September,1921",100,0,
2,Five,1922,September,"September,1922",105,4," $200,000.00 "
3,Felix,1922,September,"September,1922",115,,
1,Three,1922,September,"September,1922",80,0,
2,Fifteen,1923,October,"October,1923",105,0,
1,Four,1923,September,"September,1923",80,0,
3,Isidore,1923,September,"September,1923",125,22,
3,Kate,1923,October,"October,1923",125,,
1,Six,1923,October,"October,1923",80,0,
2,Ten,1923,September,"September,1923",110,0,
2,Four,1924,September,"September,1924",100,0," $1,500,000.00 "
5,Cuba,1924,October,"October,1924",165,90,
3,Alex,1924,September,"September,1924",120,1,
2,Eight,1924,November,"November,1924",100,0,
1,Eleven,1924,November,"November,1924",80,,
1,Five,1924,September,"September,1924",85,,
3,Jeanne,1924,November,"November,1924",120,3037,
2,Two,1925,August,"August,1925",100,7," $10,750,000.00 "
3,Maria,1925,August,"August,1925",115,3,
1,One,1925,August,"August,1925",80,0,
4,Miami,1926,September,"September,1926",,,
4,Nassau,1926,July,"July,1926",,,
4,Unnamed,1926,,",1926",,,
2,Three,1927,September,"September,1927",100,52," $13,000,000.00 "
1,Three,1927,September,"September,1927",80,19," $4,360,000.00 "
2,Four,1927,September,"September,1927",110,7," $4,000,000.00 "
3,Beta,1927,September,"September,1927",115,9,
3,Gordon,1927,September,"September,1927",120,,
1,Two,1927,September,"September,1927",90,0,
1,1928 Haiti hurricane,1928,August,"August,1928",90,210," $2,000,000.00 "
2,Five,1928,August,"August,1928",100,3," $1,490,000.00 "
5,San Felipe IIOkeechobee,1928,September,"September,1928",160,4000,
3,Bertha,1928,September,"September,1928",125,3,
3,Helene,1928,August,"August,1928",120,,
2,Seven,1928,September,"September,1928",100,0,
1,Six,1928,September,"September,1928",90,0,
2,Eleven,1929,October,"October,1929",110,9," $9,000,000.00 "
1,One,1929,June,"June,1929",90,," $365,000.00 "
1,Five,1929,October,"October,1929",80,0,
2,Four,1929,June,"June,1929",110,0,
3,Fred,1929,June,"June,1929",120,,
3,Karl,1929,October,"October,1929",125,22,
4,Unnamed,1929,,",1929",,,
4,San Zenón,1930,,",1930",,,
2,One,1931,September,"September,1931",105,19," $17,000,000.00 "
1,Eight,1931,September,"September,1931",75,0,
3,Irene,1931,September,"September,1931",120,48,
2,Six,1932,August,"August,1932",100,0," $419,000.00 "
1,1932 Florida–Alabama hurricane,1932,August,"August,1932",85,," $226,000.00 "
5,Bahamas,1932,September,"September,1932",160,16,
5,Camagey,1932,November,"November,1932",175,3103,
3,Rina,1932,August,"August,1932",115,,
4,San Ciprián,1932,,",1932",,,
4,Unnamed,1932,,",1932",,,
3,Sandy,1933,September,"September,1933",115,159," $79,998,500,000.00 "
1,Eighteen,1933,October,"October,1933",90,23," $3,000,000.00 "
2,One,1933,October,"October,1933",100,1," $750,000.00 "
1,1933 Florida–Mexico hurricane,1933,July,"July,1933",90,," $500,000.00 "
2,Nine,1933,July,"July,1933",110,0," $300,000.00 "
5,Cuba Brownsville,1933,August,"August,1933",160,179,
5,Tampico,1933,September,"September,1933",160,184,
4,Chesapeake,1933,August,"August,1933",,,
3,Edouard,1933,October,"October,1933",120,2,
1,Fifteen,1933,September,"September,1933",75,0,
3,Michael,1933,July,"July,1933",115,,
2,Nine,1933,September,"September,1933",100,0,
4,Outer Banks,1933,September,"September,1933",,,
4,Treasure Coast,1933,August,"August,1933",,,
2,Six,1934,August,"August,1934",100,5," $5,200,000.00 "
2,Eleven,1934,July,"July,1934",100,5," $2,000,000.00 "
3,Danny,1934,July,"July,1934",125,,
1,Five,1934,August,"August,1934",80,,
2,Four,1934,July,"July,1934",100,0,
3,Gaston,1934,July,"July,1934",115,,
3,Otto,1934,August,"August,1934",115,23,
1,Three,1934,July,"July,1934",85,,
1,Two,1934,July,"July,1934",90,0,
5,Labor Day,1935,September,"September,1935",185,408,
1,1935 hurricane,1935,October,"October,1935",85,2150,
2,Charlie,1935,October,"October,1935",110,48,
3,Lee,1935,October,"October,1935",115,,
3,Humberto,1936,August,"August,1936",125,2," $25,000,000.00 "
2,Eleven,1936,August,"August,1936",110,2," $6,700,000.00 "
2,King,1936,June,"June,1936",105,1," $3,260,000.00 "
1,Three,1936,June,"June,1936",80,," $550,000.00 "
2,One,1936,August,"August,1936",110,2," $50,000.00 "
1,Eight,1936,August,"August,1936",75,0,
1,Eleven,1936,August,"August,1936",80,0,
3,Epsilon,1936,August,"August,1936",115,1,
3,Ophelia,1936,June,"June,1936",115,3,
3,Zeta,1937,October,"October,1937",115,6," $4,743,700,000.00 "
2,Baker,1937,October,"October,1937",105,38," $2,500,000.00 "
1,Eleven,1937,October,"October,1937",80,0,
5,New England,1938,September,"September,1938",160,682,
3,Grace,1939,August,"August,1939",120,15," $513,000,000.00 "
3,Larry,1939,October,"October,1939",125,7," $80,000,000.00 "
1,Two,1939,August,"August,1939",75,0, $200.00 
2,Charlie,1939,August,"August,1939",110,0,
2,George,1939,October,"October,1939",110,0,
1,Six,1939,October,"October,1939",90,2,
2,Item,1940,October,"October,1940",105,0," $1,500,000.00 "
1,Eight,1940,October,"October,1940",80,0,
2,How,1941,September,"September,1941",100,17," $2,000,000.00 "
1,Three,1941,September,"September,1941",80,0,
2,Able,1942,August,"August,1942",100,3," $21,700,000.00 "
1,Two,1942,August,"August,1942",80,0," $790,000.00 "
2,Alice,1944,September,"September,1944",110,56," $2,000,000.00 "
1,Three,1944,July,"July,1944",80,0," $2,000,000.00 "
2,Baker,1944,July,"July,1944",110,0,
2,Easy,1944,July,"July,1944",105,0,
1,Eight,1944,September,"September,1944",80,,
4,Great Atlantic hurricane,1944,September,"September,1944",,,
1,One,1944,July,"July,1944",80,0,
2,Thirteen,1944,October,"October,1944",100,0,
1,Twelve,1944,October,"October,1944",80,0,
2,Diane,1945,October,"October,1945",105,184," $754,000,000.00 "
1,Ten,1945,October,"October,1945",90,1,
4,Unnamed,1945,,",1945",,,
2,Edith,1946,July,"July,1946",105,0,
1,Two,1946,July,"July,1946",80,0,
1,Three,1947,August,"August,1947",80,1," $800,000.00 "
2,Flora,1947,August,"August,1947",105,0,
2,Greta,1948,November,"November,1948",100,1," $3,580,000.00 "
1,Five,1948,September,"September,1948",80,0," $900,000.00 "
2,Katie,1948,September,"September,1948",110,7," $200,000.00 "
1,Ten,1948,November,"November,1948",75,0,
4,Unnamed,1948,,",1948",,,
1,Ten,1949,September,"September,1949",80,15," $1,012,000.00 "
2,Ella,1949,September,"September,1949",110,37," $100,000.00 "
2,Ilsa,1949,October,"October,1949",110,0,
1,Thirteen,1949,October,"October,1949",90,0,
4,Unnamed,1949,,",1949",,,
2,Janice,1950,October,"October,1950",100,9," $200,000.00 "
1,Love,1950,October,"October,1950",80,0,
2,Edith,1951,September,"September,1951",100,10," $46,600,000.00 "
1,Dog,1951,August,"August,1951",90,7," $3,000,000.00 "
2,Daisy,1951,August,"August,1951",105,32," $1,100,000.00 "
2,Anna,1951,May,"May,1951",105,1," $300,000.00 "
1,Able,1951,May,"May,1951",90,0,
4,Charlie,1951,August,"August,1951",,,
2,Ella,1951,October,"October,1951",110,2,
1,Jig,1951,October,"October,1951",75,0,
1,Twelve,1951,September,"September,1951",80,0,
4,Fox,1952,October,"October,1952",,,
1,Barbara,1953,August,"August,1953",90,9," $1,300,000.00 "
2,Ginny,1953,August,"August,1953",110,5," $500,000.00 "
1,Hazel,1953,October,"October,1953",85,0," $250,000.00 "
2,Anna,1953,October,"October,1953",105,0,
5,Carol,1953,September,"September,1953",160,5,
1,Dolly,1953,September,"September,1953",75,0,
2,Elena,1953,October,"October,1953",110,0,
2,Ethel,1953,September,"September,1953",105,0,
1,Gail,1953,October,"October,1953",80,0,
1,Alice,1954,December,"December,1954",90,0," $623,000.00 "
2,Chloe,1954,August,"August,1954",110,14,
1,Dolly,1954,August,"August,1954",85,0,
4,Hazel,1954,October,"October,1954",,,
1,Gladys,1955,September,"September,1955",90,0," $500,000.00 "
4,Connie,1955,August,"August,1955",,,
5,Janet,1955,September,"September,1955",175,1023,
2,Laurie,1955,September,"September,1955",105,0,
1,Flossy,1956,September,"September,1956",90,15," $24,900,000.00 "
2,Ginger,1956,September,"September,1956",110,1," $10,000,000.00 "
1,Anna,1956,July,"July,1956",85,0," $50,000.00 "
2,Eighteen,1956,July,"July,1956",105,0,
2,Betty,1957,September,"September,1957",105,0,
4,Carrie,1957,September,"September,1957",,,
1,Frieda,1957,September,"September,1957",85,0,
2,Fifi,1958,September,"September,1958",110,8210," $1,800,000,000.00 "
1,Fifi,1958,September,"September,1958",85,0,
4,Helene,1958,September,"September,1958",,,
1,Escuminac (Three),1959,June,"June,1959",85,35," $2,500,000.00 "
1,Debra,1959,July,"July,1959",85,0," $700,000.00 "
1,Cindy,1959,July,"July,1959",75,6," $75,000.00 "
2,Doris,1959,June,"June,1959",110,0,
2,Emmy,1959,July,"July,1959",105,68,
2,Faye,1959,July,"July,1959",105,0,
