,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
144,Seven,"September 22 – 28, 1940",100,977,Azores,0,None,September 22 – 28,1940,September
145,Four,"August 25 – September 3, 1942",110,Unknown,No land areas,0,None,August 25 – September 3,1942,August
146,Eleven,"November 5 – 11, 1942",110,992,"Cuba, Belize, Mexico",9,$9 million,November 5 – 11,1942,November
147,One,"July 25 – 30, 1943",105,967,"Texas, Louisiana",19,$17 million,July 25 – 30,1943,July
148,Six,"September 15 – 20, 1943",100,Unknown,Gulf Coast of the United States,0,$419 thousand,September 15 – 20,1943,September
149,Nine,"October 11 – 17, 1943",110,Unknown,"Leeward Islands, Puerto Rico, Bermuda",0,$300 thousand,October 11 – 17,1943,October
150,Nine,"September 21 – 26, 1944",100,Unknown,No land areas,0,None,September 21 – 26,1944,September
151,One,"June 20 – 27, 1945",100,985,East Coast of the United States,1,$750 thousand,June 20 – 27,1945,June
152,Eleven,"October 10 – 13, 1945",100,982,"Greater Antilles, Bahamas",5,$2 million,October 10 – 13,1945,October
153,Four,"September 12 – 15, 1946",100,975,"Bahamas, Nova Scotia, Newfoundland",0,None,September 12 – 15,1946,September
154,Six,"October 5 – 9, 1946",100,977,"Cuba, Florida, Georgia, South Carolina",5,$5.2 million,October 5 – 9,1946,October
155,Charlie,"August 9 – 16, 1947",110,977,"Quintana Roo, Tamaulipas",48,Unknown,August 9 – 16,1947,August
156,King,"October 8 – 16, 1947",105,965,"Honduras, Florida, Alabama",1,$3.26 million,October 8 – 16,1947,October
157,One,"August 21 – 25, 1949",110,974,North Carolina,2,$50 thousand,August 21 – 25,1949,August
158,Eleven,"September 27 – October 6, 1949",110,965,"Guatemala, Campeche, Texas",2,$6.7 million,September 27 – October 6,1949,September
159,Baker,"August 18 – September 1, 1950",105,978,"Leeward Islands, Puerto Rico, Hispaniola, Cuba, Gulf Coast of the United States",38,$2.5 million,August 18 – September 1,1950,August
160,Charlie,"August 21 – September 5, 1950",110,974,No land areas,0,None,August 21 – September 5,1950,August
161,George,"September 27 – October 5, 1950",110,960,Iceland,0,None,September 27 – October 5,1950,September
162,Item,"October 8 – 11, 1950",105,976,"Yucatán Peninsula, Western Mexico",0,$1.5 million,October 8 – 11,1950,October
163,How,"September 29 – October 5, 1951",100,972,"Florida, Iceland",17,$2 million,September 29 – October 5,1951,September
164,Able,"August 18 – September 3, 1952",100,980,"South Carolina, North Carolina, Virginia, Maryland",3,$21.7 million,August 18 – September 3,1952,August
165,Baker,"August 31 – September 8, 1952",110,969,No land areas,0,None,August 31 – September 8,1952,August
166,Easy,"October 6 – 11, 1952",105,968,No land areas,0,None,October 6 – 11,1952,October
167,Alice,"June 24 – 27, 1954",110,975,Mexico,56,$2 million,June 24 – 27,1954,June
168,Thirteen,"September 25 – October 6, 1954",100,964,No land areas,0,None,September 25 – October 6,1954,September
169,Diane,"August 7 – 20, 1955",105,969,"North Carolina, Pennsylvania, New York, New Jersey, New England",184,$754.7 million,August 7 – 20,1955,August
170,Edith,"August 21 – 31, 1955",105,967,No land areas,0,None,August 21 – 31,1955,August
171,Flora,"September 2 – 9, 1955",105,967,No land areas,0,None,September 2 – 9,1955,September
172,Katie,"October 14 – 19, 1955",110,984,"Central America, Dominican Republic, Hispaniola, Puerto Rico, Cuba, Bahamas, Dominica",7,$200 thousand,October 14 – 19,1955,October
173,Greta,"October 31 – November 6, 1956",100,970,"Cuba, Bahamas, Florida, Guadeloupe",1,$3.58 million,October 31 – November 6,1956,October
174,Ella,"August 30 – September 6, 1958",110,983,"Haiti, Dominican Republic, Cuba, Louisiana, Texas",37,>$100 thousand,August 30 – September 6,1958,August
175,Ilsa,"September 24 – 30, 1958",110,956,Bermuda,0,None,September 24 – 30,1958,September
176,Janice,"October 4 – 11, 1958",100,968,"Jamaica, Cuba, Bahamas",9,$200 thousand,October 4 – 11,1958,October
177,Anna,"July 20 – 24, 1961",105,976,"Windward Islands, Colombia, Venezuela, Central America, Jamaica",1,$300 thousand,July 20 – 24,1961,July
178,Daisy,"September 29 – October 7, 1962",105,963,"Leeward Islands, Bermuda, New England, Atlantic Canada",32,$1.1 million,September 29 – October 7,1962,September
179,Ella,"October 14 – 22, 1962",110,958,"Cuba, East Coast of the United States, Atlantic Canada",2,Unknown,October 14 – 22,1962,October
180,Edith,"September 23 – 29, 1963",100,990,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Bahamas",10,$46.6 million,September 23 – 29,1963,September
181,Ginny,"October 17 – 29, 1963",110,948,"Hispaniola, Turks and Caicos Islands, Bahamas, North Carolina, Virginia, Maryland, New Jersey, New York, New England, Nova Scotia, Newfoundland",5,$500 thousand,October 17 – 29,1963,October
182,Ethel,"September 4 – 14, 1964",105,974,Bermuda,0,Minimal,September 4 – 14,1964,September
183,Anna,"August 21 – 25, 1965",105,976,No land areas,0,None,August 21 – 25,1965,August
184,Elena,"October 12 – 19, 1965",110,977,No land areas,0,None,October 12 – 19,1965,October
185,Chloe,"September 5 – 21, 1967",110,958,"Cape Verde, Spain, France",14,Unknown,September 5 – 21,1967,September
186,Kara,"October 7 – 18, 1969",105,978,North Carolina,0,None,October 7 – 18,1969,October
187,Laurie,"October 17 – 27, 1969",105,973,Mexico,0,Minor,October 17 – 27,1969,October
188,Eighteen,"October 12 – 17, 1970",105,974,"Bermuda, Nova Scotia, Newfoundland",0,Unknown,October 12 – 17,1970,October
189,Ginger,"September 6 – October 3, 1971",110,959,"Bahamas, North Carolina",1,$10 million,September 6 – October 3,1971,September
190,Betty,"August 22 – September 1, 1972",105,976,No land areas,0,None,August 22 – September 1,1972,August
191,Fifi,"September 14 – 22, 1974",110,971,"Hispaniola, Jamaica, Mexico, Central America",8210,$1.8 billion,September 14 – 22,1974,September
192,Doris,"August 28 – September 4, 1975",110,965,No land areas,0,None,August 28 – September 4,1975,August
193,Faye,"September 18 – 29, 1975",105,977,Bermuda,0,Minimal,September 18 – 29,1975,September
194,Emmy,"August 20 – September 4, 1976",105,974,"Lesser Antilles, Azores",68,Minimal,August 20 – September 4,1976,August
195,Gloria,"September 26 – October 4, 1976",105,970,No land areas,0,None,September 26 – October 4,1976,September
196,Flossie,"September 4 – 15, 1978",100,976,No land areas,0,None,September 4 – 15,1978,September
197,Gloria,"September 4 – 15, 1979",100,975,No land areas,0,None,September 4 – 15,1979,September
198,Bonnie,"August 14 – 19, 1980",100,975,No land areas,0,None,August 14 – 19,1980,August
