Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted),,,
Name,Disaster,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Central Severe Weather (October 2006),Severe Storm,1239.6,1
Numerous Wildfires (2006),Wildfire,2098,28
California Freeze (January 2007),Freeze,1960,1
Spring Freeze (April 2007),Freeze,2861.6,0
East/South Severe Weather and Flooding (April 2007),Severe Storm,3435.7,9
Western Wildfires (Summer 2007),Wildfire,3728.2,12
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,4953.7,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,1315.8,12
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,1623.6,57
Southeast Tornadoes (March 2008),Severe Storm,1504.2,5
Southern Severe Weather (April 2008),Severe Storm,1372.3,2
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,3968.7,13
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2126.8,18
Midwest Flooding (Summer 2008),Flooding,13344.3,24
Hurricane Alicia (August 1983),Tropical Cyclone,8490,21
Hurricane Bob (August 1991),Tropical Cyclone,3126,18
Hurricane Georges (September 1998),Tropical Cyclone,10353.2,16
U.S. Wildfires (Fall 2008),Wildfire,1604.2,16
U.S. Drought (2008),Drought,9393.1,0
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2331.8,10
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2182,0
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,1902,6
Central Derecho and Tornadoes (May 2009),Severe Storm,1145.2,7
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,1753.2,0
Colorado Hail Storm (July 2009),Severe Storm,1320,0
Georgia Flooding (September 2009),Flooding,1177,10
Western Wildfires (Summer-Fall 2009),Wildfire,1335.7,10
Southwest/Great Plains Drought (2009),Drought,4679.3,0
Northeast Winter Storm (February 2010),Winter Storm,1070.4,3
Northeast Flooding (March 2010),Flooding,2415.9,11
East/South Flooding and Severe Weather (May 2010),Flooding,2968.9,32
